date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
02-10-2009,18,10,0,11.6,4,90,11,11,12,11,14,9,92,0,1019,12,10,326,7,Paris
03-10-2009,18,8,0,11.6,4,98,8,9,9,9,9,7,90,0,1019,9,10,272,5,Paris
04-10-2009,16,11,0,7.3,4,100,8,9,11,9,18,21,79,0,1015,11,10,229,10,Paris
05-10-2009,20,12,0,7.3,5,88,12,14,14,14,17,58,85,0,1016,14,10,191,9,Paris
06-10-2009,23,14,0,10.2,4,80,16,16,16,16,8,100,98,0.1,1014,16,0,239,4,Paris
07-10-2009,24,16,0,11.6,6,73,16,17,17,17,14,15,92,0,1014,17,10,189,7,Paris
08-10-2009,21,14,0,7.1,5,66,16,17,17,17,23,25,92,0,1010,17,10,230,12,Paris
09-10-2009,21,12,0,8.6,5,59,11,12,13,12,12,53,91,0,1018,13,10,39,7,Paris
10-10-2009,19,13,0,11.1,5,51,14,16,16,16,11,48,90,0,1014,16,10,257,7,Paris
11-10-2009,17,10,0,8.6,3,44,11,10,11,10,15,100,97,0,1020,11,0,259,8,Paris
12-10-2009,15,9,0,8.6,3,37,11,12,13,12,20,85,86,0,1016,13,10,336,13,Paris
13-10-2009,15,8,0,11,4,30,9,9,10,9,12,7,91,0,1029,10,10,336,6,Paris
14-10-2009,13,7,0,10.9,4,22,7,7,9,7,16,20,93,0,1029,9,10,6,8,Paris
15-10-2009,11,3,0,10.9,3,15,1,3,6,3,11,0,75,0,1031,6,10,46,9,Paris
16-10-2009,12,4,0,8.4,2,8,5,4,6,4,16,2,95,0,1030,6,2,7,9,Paris
17-10-2009,11,9,0,8.4,3,0,6,7,10,7,17,52,77,0,1028,10,10,339,10,Paris
18-10-2009,14,4,0,10.4,3,0,6,5,7,5,17,23,91,0,1026,7,10,30,10,Paris
19-10-2009,11,2,0,10.4,3,0,1,3,5,3,8,6,76,0,1022,5,10,171,4,Paris
20-10-2009,15,4,0,10,4,7,-1,1,5,1,25,26,70,0,1008,5,10,137,14,Paris
21-10-2009,13,11,0,5.1,3,14,8,11,13,11,20,59,71,0,999,13,9,166,11,Paris
22-10-2009,16,7,0,10.3,3,21,9,8,10,8,16,24,96,0,1000,10,2,175,9,Paris
23-10-2009,15,8,0,10.2,3,28,9,9,10,9,12,43,95,0,1007,10,2,215,6,Paris
24-10-2009,17,10,0,5.1,5,36,9,8,10,8,16,45,93,0,1014,10,10,159,9,Paris
25-10-2009,15,10,0,10.2,4,43,13,14,14,14,9,3,90,0,1015,14,10,281,6,Paris
26-10-2009,17,8,0,10.1,3,50,9,9,10,9,13,4,94,0,1019,10,2,245,8,Paris
27-10-2009,17,8,0,10.1,4,58,7,9,9,9,5,8,91,0,1023,9,10,74,2,Paris
28-10-2009,18,8,0,10.1,4,65,8,8,9,8,20,5,89,0,1020,9,10,141,10,Paris
29-10-2009,16,9,0,10,4,72,8,9,10,9,12,10,88,0,1021,10,10,48,6,Paris
30-10-2009,14,6,0,10,4,79,7,8,9,8,19,5,88,0,1024,9,10,97,9,Paris
31-10-2009,16,7,0,8.3,4,83,3,5,7,5,10,21,77,0,1024,7,10,142,5,Paris
01-11-2009,16,11,0,5,3,97,10,10,11,10,10,100,98,0,1023,11,0,168,5,Paris
02-11-2009,10,7,0,8.3,3,100,9,8,11,8,23,44,87,0,1005,11,10,239,14,Paris
03-11-2009,12,6,0,4.9,3,87,6,4,6,4,16,58,96,0,1002,6,2,193,9,Paris
04-11-2009,9,8,0,4.9,2,80,8,8,11,8,28,38,85,1.4,989,11,9,254,18,Paris
05-11-2009,10,7,0,6.6,2,72,5,5,8,5,34,87,79,0,994,8,10,228,23,Paris
06-11-2009,10,6,0,8.2,3,65,6,4,7,4,20,51,95,0,1004,7,10,259,12,Paris
07-11-2009,9,5,0,8.2,2,57,7,5,8,5,34,100,89,0.3,1002,8,2,202,22,Paris
08-11-2009,8,5,0,4.9,3,50,4,1,5,1,24,51,96,0,1001,5,10,197,13,Paris
09-11-2009,9,3,0,4.8,3,42,4,2,5,2,18,38,94,0,1012,5,10,352,11,Paris
10-11-2009,9,5,0,9.6,3,35,5,3,6,3,22,61,96,0,1016,6,10,316,13,Paris
11-11-2009,9,3,0,8.2,2,27,4,3,5,3,13,16,96,0,1012,5,2,209,6,Paris
12-11-2009,13,6,0,9.6,3,20,3,2,6,2,30,100,84,0,1007,6,10,170,18,Paris
13-11-2009,16,12,0,9.6,3,12,10,9,12,9,31,89,92,0,1009,12,10,199,18,Paris
14-11-2009,14,11,0,8.2,4,4,8,11,14,11,47,47,70,0,1004,14,10,181,24,Paris
15-11-2009,13,10,0,6.3,4,0,8,7,10,7,25,50,85,0,1013,10,10,194,14,Paris
16-11-2009,14,10,0,3.4,3,0,9,8,10,8,29,100,89,0,1008,10,10,119,18,Paris
17-11-2009,11,9,0,6.9,4,0,11,10,12,10,15,41,94,0,1012,12,10,219,9,Paris
18-11-2009,12,8,0,8.7,3,3,7,5,8,5,27,57,97,0,1021,8,10,219,15,Paris
19-11-2009,12,7,0,8.7,3,10,8,5,8,5,27,47,97,0,1023,8,10,202,14,Paris
20-11-2009,15,10,0,6.9,4,18,9,8,10,8,30,8,91,0,1018,10,10,187,14,Paris
21-11-2009,15,10,0,6.9,3,26,11,10,11,10,24,45,97,0,1024,11,2,195,12,Paris
22-11-2009,12,9,0,5.1,3,33,11,11,13,11,32,100,84,0,1014,13,10,210,18,Paris
23-11-2009,12,9,0,3.3,3,41,5,5,9,5,35,69,79,0,1012,9,10,225,22,Paris
24-11-2009,13,11,0,6.9,3,48,10,10,12,10,28,100,87,1.6,1013,12,9,246,17,Paris
25-11-2009,11,9,0,3.3,2,56,9,7,10,7,38,76,91,0,1014,10,10,196,23,Paris
26-11-2009,11,7,0,3.3,3,63,5,4,7,4,34,45,87,0,1012,7,10,219,19,Paris
27-11-2009,9,7,0,4,2,71,7,6,9,6,32,87,87,0,1006,9,10,211,20,Paris
28-11-2009,10,7,0,2.1,2,78,5,3,7,3,30,89,91,0,1008,7,10,217,18,Paris
29-11-2009,9,6,0,3.9,2,86,6,5,9,5,41,100,81,0,997,9,10,180,24,Paris
30-11-2009,9,5,0,3.9,2,93,4,2,5,2,20,82,93,0,994,5,10,196,13,Paris
01-12-2009,8,5,0,2.1,2,97,5,2,5,2,22,90,94,0,1005,5,10,319,14,Paris
02-12-2009,9,4,0,2.1,3,100,2,1,4,1,19,34,84,0,1012,4,10,180,11,Paris
03-12-2009,10,4,0,2.1,2,88,8,6,10,6,28,100,89,0.4,1001,10,2,218,18,Paris
04-12-2009,7,3,0,5.8,1,81,2,1,4,1,18,78,85,0,1006,4,10,236,12,Paris
05-12-2009,12,4,0,2.1,3,74,3,0,4,0,37,100,91,0,1010,4,10,189,22,Paris
06-12-2009,12,8,0,2.1,3,66,9,8,11,8,36,66,87,0.9,1007,11,9,191,21,Paris
07-12-2009,10,6,0,2.1,3,59,6,4,7,4,17,5,90,0,1013,7,10,209,10,Paris
08-12-2009,8,5,0,5.8,2,52,5,4,8,4,37,47,84,5,1006,8,8,267,23,Paris
09-12-2009,12,8,0,2.1,3,45,7,5,8,5,23,100,94,3.4,1020,8,7,181,14,Paris
10-12-2009,11,6,0,5.8,2,37,11,10,12,10,24,97,96,0.1,1024,12,10,217,14,Paris
11-12-2009,8,4,0,5.8,2,30,5,3,5,3,15,31,97,0,1031,5,2,352,8,Paris
12-12-2009,4,2,0.3,2,2,23,3,0,4,0,23,52,96,0,1028,4,10,27,13,Paris
13-12-2009,3,1,0.3,2,1,15,0,-2,3,-2,25,79,82,0,1025,3,10,26,16,Paris
14-12-2009,0,-2,0.1,5.8,1,8,-3,-5,0,-5,27,82,81,0.1,1022,0,5,39,18,Paris
15-12-2009,0,-3,0,3.9,2,1,-6,-7,-2,-7,12,0,70,0,1019,-2,10,41,10,Paris
16-12-2009,1,-4,0,5.8,2,0,-6,-8,-3,-8,17,33,82,0,1017,-3,10,9,9,Paris
17-12-2009,-1,-4,4.3,2,2,0,-5,-5,-2,-5,13,3,77,0,1011,-2,10,214,7,Paris
18-12-2009,-1,-6,0.9,5.8,1,6,0,-3,0,-3,14,100,97,0,1004,0,10,295,8,Paris
19-12-2009,-4,-8,0,3.9,2,13,-6,-10,-5,-10,19,40,95,0,1010,-5,10,321,10,Paris
20-12-2009,2,-5,0.1,3.9,2,21,-5,-10,-4,-10,21,28,94,0,1009,-4,10,178,11,Paris
21-12-2009,1,-4,0.2,3.9,2,28,-5,-8,-4,-8,13,20,92,0,1004,-4,10,182,6,Paris
22-12-2009,2,0,0,2,1,35,2,-3,2,-3,19,100,99,0.5,984,2,2,149,11,Paris
23-12-2009,1,-1,0,5.8,1,43,-1,-2,0,-2,3,55,95,0,994,0,2,326,1,Paris
24-12-2009,3,0,0,3.9,1,50,-1,-4,0,-4,16,29,96,0,995,0,2,158,8,Paris
25-12-2009,5,2,0,3.9,1,57,2,-3,3,-3,36,100,96,0,982,3,10,288,23,Paris
26-12-2009,5,1,0,5.8,2,64,1,-3,1,-3,28,24,95,0,1010,1,10,208,14,Paris
27-12-2009,6,1,0,3.2,3,72,-1,-4,1,-4,33,31,87,0,1008,1,10,194,17,Paris
28-12-2009,6,2,0,6.9,2,79,2,-1,3,-1,25,15,92,0,1009,3,10,235,14,Paris
29-12-2009,12,2,0,3.2,2,86,1,-3,2,-3,32,87,92,0,1001,2,10,97,19,Paris
30-12-2009,11,8,0,6.9,2,93,9,7,10,7,31,46,95,0.3,995,10,9,196,17,Paris
31-12-2009,8,1,0.1,3.2,2,97,8,6,8,6,18,87,96,1.4,994,8,6,196,11,Paris
01-01-2010,1,-1,0.6,6.9,1,100,-1,-5,1,-5,18,100,87,0.1,995,1,5,3,14,Paris
02-01-2010,3,-1,0.2,5.1,2,85,-3,-5,-1,-5,18,20,92,0,1013,-1,10,287,10,Paris
03-01-2010,4,-3,0,8.6,2,77,-1,-4,0,-4,16,13,92,0,1022,0,10,234,9,Paris
04-01-2010,1,-5,0,8.6,2,70,-6,-9,-3,-9,15,0,81,0,1022,-3,10,47,13,Paris
05-01-2010,0,-6,0,8.7,2,63,-9,-6,-4,-6,13,6,70,0,1015,-4,10,148,7,Paris
06-01-2010,-3,-6,0.3,5.1,2,56,-8,-7,-4,-7,14,12,75,0,1004,-4,10,161,8,Paris
07-01-2010,-3,-6,4.4,8.7,1,48,-6,-9,-4,-9,17,60,86,1.2,1004,-4,5,70,11,Paris
08-01-2010,-3,-8,0,6.9,2,41,-7,-9,-5,-9,8,3,88,0,1014,-5,10,24,4,Paris
09-01-2010,-2,-6,0.5,3.3,1,34,-7,-14,-6,-14,40,97,88,0,1017,-6,10,11,24,Paris
10-01-2010,0,-3,0.9,3.3,1,27,-3,-8,-2,-8,22,100,92,0.3,1013,-2,2,1,14,Paris
11-01-2010,0,-5,0,6.9,2,19,-3,-2,-2,-2,2,51,93,0,1018,-2,10,120,1,Paris
12-01-2010,-1,-3,0.1,6.9,2,12,-3,-3,-2,-3,5,53,93,0,1020,-2,10,269,3,Paris
13-01-2010,3,-3,2.2,3.3,1,5,-4,-8,-3,-8,12,100,92,0.9,1001,-3,2,115,9,Paris
14-01-2010,3,-1,0,8.7,1,0,3,-1,3,-1,30,97,99,0.4,1004,3,2,159,16,Paris
15-01-2010,5,-1,0,6.9,1,0,-1,0,0,0,13,16,96,0,1013,0,2,297,6,Paris
16-01-2010,5,-1,0,3.3,2,2,-1,-6,-1,-6,24,60,97,0,1022,-1,10,153,14,Paris
17-01-2010,7,5,0,5.1,2,10,8,5,9,5,36,100,96,0.5,1008,9,2,210,20,Paris
18-01-2010,8,2,0,8.7,1,17,3,1,4,1,16,47,97,0,1026,4,2,270,8,Paris
19-01-2010,5,0,0,8.7,1,24,1,0,2,0,8,19,95,0,1026,2,2,107,4,Paris
20-01-2010,4,-1,0,3.4,2,31,-2,-5,-1,-5,23,37,87,0,1017,-1,10,100,13,Paris
21-01-2010,6,2,0,3.4,1,39,3,0,4,0,19,90,97,0.2,1016,4,2,280,10,Paris
22-01-2010,6,1,0,6.9,1,46,3,1,3,1,16,55,96,0.1,1022,3,2,171,9,Paris
23-01-2010,4,2,0,5.2,1,53,1,0,3,0,16,93,89,0.1,1022,3,10,140,10,Paris
24-01-2010,5,2,0,3.4,1,60,1,3,3,3,1,65,90,0,1021,3,10,90,1,Paris
25-01-2010,5,1,0,3.4,1,68,2,-1,2,-1,19,70,95,0,1026,2,10,314,10,Paris
26-01-2010,1,-4,0,8.7,2,75,-1,-5,-1,-5,20,52,96,0,1035,-1,10,358,12,Paris
27-01-2010,2,-5,0,8.7,2,82,-8,-11,-4,-11,22,0,75,0,1037,-4,10,41,16,Paris
28-01-2010,6,1,0,5.2,1,90,-1,-5,1,-5,34,100,86,0,1018,1,10,256,20,Paris
29-01-2010,4,2,0.2,3.4,1,97,2,-2,3,-2,24,87,96,0.3,1005,3,2,255,14,Paris
30-01-2010,3,-2,0.3,8.7,1,100,-1,-5,0,-5,26,9,90,0.3,996,0,5,297,16,Paris
31-01-2010,3,-2,0,8.7,2,100,-2,-5,-1,-5,14,10,93,0,1007,-1,10,278,8,Paris
01-02-2010,4,-2,0.8,8.7,2,77,-4,-7,-2,-7,29,45,84,0,1011,-2,10,248,16,Paris
02-02-2010,5,0,0,3.5,2,69,0,-4,0,-4,19,59,96,0,1020,0,10,238,10,Paris
03-02-2010,9,6,0,3.5,2,62,5,1,6,1,49,100,95,3.6,1010,6,7,245,26,Paris
04-02-2010,8,3,0,8.7,3,54,5,3,5,3,25,42,96,0,1014,5,10,207,13,Paris
05-02-2010,9,5,0,8.7,2,47,5,3,6,3,29,97,91,0.2,1004,6,2,173,15,Paris
06-02-2010,5,3,0,3.5,1,39,4,0,4,0,29,66,97,0,1007,4,10,170,17,Paris
07-02-2010,5,2,0.1,3.5,2,32,4,1,4,1,13,48,96,0,1020,4,10,11,8,Paris
08-02-2010,4,2,1.4,3.7,2,24,2,1,3,1,7,42,92,0,1016,3,10,43,5,Paris
09-02-2010,0,-4,1,5.4,2,16,-1,-4,1,-4,17,61,89,0,1005,1,10,32,12,Paris
10-02-2010,2,-4,1.5,5.4,2,9,-7,-10,-4,-10,14,5,83,0,1011,-4,10,9,10,Paris
11-02-2010,-1,-5,0.3,3.7,1,1,-6,-11,-5,-11,14,74,91,0,1012,-5,10,351,9,Paris
12-02-2010,0,-6,0,8.7,1,0,-6,-11,-4,-11,32,94,81,0,1017,-4,10,15,20,Paris
13-02-2010,-2,-6,0,3.8,1,0,-6,-11,-5,-11,15,68,97,0,1020,-5,10,15,8,Paris
14-02-2010,1,-7,0,8.7,2,0,-5,-8,-4,-8,17,39,90,0,1018,-4,10,6,9,Paris
15-02-2010,1,-4,0.3,10.5,2,6,-5,-8,-4,-8,16,39,92,0,1013,-4,10,258,8,Paris
16-02-2010,4,-5,0,10.6,2,13,-5,-8,-3,-8,24,4,86,0,1006,-3,10,195,14,Paris
17-02-2010,5,-3,0,5.3,1,21,-3,-6,-2,-6,15,4,95,0,995,-2,2,122,7,Paris
18-02-2010,6,-1,0,5.3,2,29,1,-2,2,-2,19,42,97,0,994,2,10,229,9,Paris
19-02-2010,6,2,0,8.5,1,36,3,-2,3,-2,31,68,95,0,995,3,10,208,17,Paris
20-02-2010,6,-1,0.3,6.9,1,44,0,-4,1,-4,18,25,94,0.2,999,1,7,239,10,Paris
21-02-2010,7,0,0,8.5,1,51,0,-4,1,-4,15,42,92,0.3,1002,1,9,225,8,Paris
22-02-2010,11,4,0,6.9,3,59,4,0,4,0,29,58,96,0,993,4,10,185,17,Paris
23-02-2010,13,8,0,6.9,3,66,8,6,8,6,26,96,95,0,990,8,10,209,16,Paris
24-02-2010,11,6,0,5.4,3,74,6,4,7,4,31,43,95,0,998,7,10,211,18,Paris
25-02-2010,10,7,0,7,2,81,7,4,9,4,38,100,88,0,996,9,10,213,23,Paris
26-02-2010,9,5,0,8.5,3,89,7,5,9,5,42,46,91,0,988,9,10,188,23,Paris
27-02-2010,10,4,0,10.1,3,97,3,0,4,0,30,15,92,0,1006,4,10,219,16,Paris
28-02-2010,10,5,0,5.5,2,100,8,5,9,5,31,100,95,6.8,982,9,7,130,20,Paris
01-03-2010,10,1,0,10.1,3,100,3,0,4,0,27,25,90,0,1007,4,10,254,17,Paris
02-03-2010,11,4,0,11.1,2,85,4,2,5,2,13,53,94,1,1016,5,9,93,8,Paris
03-03-2010,8,1,0,7.1,2,78,0,-2,2,-2,32,22,83,0,1023,2,10,75,16,Paris
04-03-2010,6,1,0,10.1,1,71,-4,-4,1,-4,43,78,66,0,1013,1,10,54,22,Paris
05-03-2010,7,-2,0,11.2,2,63,-2,-4,0,-4,14,0,83,0,1027,0,10,16,11,Paris
06-03-2010,7,-2,0,10.1,2,56,-3,-5,0,-5,22,19,84,0,1026,0,10,274,12,Paris
07-03-2010,4,-3,0,11.2,2,49,-7,-9,-3,-9,26,0,75,0,1028,-3,10,50,17,Paris
08-03-2010,6,-3,0,11.3,2,42,-9,-9,-2,-9,37,0,61,0,1026,-2,10,58,21,Paris
09-03-2010,4,-4,0,11.3,2,34,-6,-8,-2,-8,29,5,79,0,1023,-2,10,45,17,Paris
10-03-2010,7,-3,0,11.3,2,27,-7,-9,-3,-9,37,2,72,0,1024,-3,10,33,20,Paris
11-03-2010,6,-3,0,11.4,2,20,-3,-6,0,-6,33,35,84,0,1020,0,10,18,19,Paris
12-03-2010,8,-3,0,10.1,1,12,-2,-5,-2,-5,23,17,95,0,1021,-2,2,358,12,Paris
13-03-2010,7,0,0,7.2,1,5,-1,-2,0,-2,9,41,95,0,1025,0,2,344,4,Paris
14-03-2010,7,-1,0,7.2,2,0,1,-1,2,-1,10,14,94,0,1030,2,10,324,5,Paris
15-03-2010,12,2,0,11.5,3,0,3,1,4,1,21,31,93,0,1029,4,10,298,11,Paris
16-03-2010,14,2,0,11.6,3,2,2,0,3,0,23,23,93,0,1027,3,10,286,11,Paris
17-03-2010,15,3,0,11.6,4,9,0,2,4,2,15,32,74,0,1028,4,10,169,7,Paris
18-03-2010,16,6,0,10.3,4,16,4,6,7,6,11,49,81,0,1024,7,10,184,5,Paris
19-03-2010,18,9,0,11.6,4,24,7,8,10,8,25,46,82,0,1020,10,10,213,12,Paris
20-03-2010,16,11,0,6.2,3,31,11,10,12,10,33,100,94,2.1,1013,12,9,217,21,Paris
21-03-2010,11,8,0,7.6,2,38,11,10,12,10,36,100,92,0,1010,12,10,220,20,Paris
22-03-2010,16,5,0,11.6,4,46,6,6,7,6,12,3,94,0,1023,7,10,116,6,Paris
23-03-2010,17,5,0,11.6,4,53,6,5,7,5,18,6,94,0,1022,7,10,291,9,Paris
24-03-2010,18,8,0,7.6,4,60,6,7,9,7,25,37,82,0,1013,9,10,131,12,Paris
25-03-2010,16,9,0,7.7,4,67,10,11,12,11,23,35,88,0,1005,12,10,161,12,Paris
26-03-2010,11,7,0,9,3,75,7,7,9,7,26,47,86,0,1007,9,10,170,15,Paris
27-03-2010,12,6,0,6.4,2,82,5,4,8,4,25,100,83,0,1007,8,10,197,16,Paris
28-03-2010,12,8,0,6.4,4,89,6,5,8,5,22,59,91,0,1014,8,10,232,13,Paris
29-03-2010,16,10,0,11.6,3,96,9,8,11,8,28,92,90,0,1009,11,10,228,17,Paris
30-03-2010,10,5,0,9,3,100,10,9,11,9,16,22,96,0,995,11,10,171,8,Paris
31-03-2010,8,3,0,7.7,2,100,4,0,5,0,24,90,91,0,1000,5,10,213,15,Paris
01-04-2010,10,2,0,9,3,77,0,-2,3,-2,26,3,85,0,1009,3,10,239,14,Paris
02-04-2010,8,3,0,7.8,3,70,0,0,3,0,28,45,82,0,1015,3,10,181,14,Paris
03-04-2010,10,4,0,7.8,2,62,5,2,5,2,27,79,97,0,1009,5,10,198,15,Paris
04-04-2010,10,5,0,9.1,2,55,5,2,6,2,32,98,94,0,1004,6,10,197,19,Paris
05-04-2010,13,1,0,11.6,3,47,1,-1,2,-1,10,15,92,0,1025,2,10,219,5,Paris
06-04-2010,17,5,0,11.6,4,40,7,6,8,6,7,0,92,0,1026,8,10,147,4,Paris
07-04-2010,17,8,0,10.3,4,32,8,8,9,8,8,13,92,0,1015,9,10,139,4,Paris
08-04-2010,13,7,0,9.1,3,24,7,5,7,5,11,63,97,0,1023,7,2,298,6,Paris
09-04-2010,17,5,0,11.6,4,17,6,7,9,7,15,0,83,0,1032,9,10,15,11,Paris
10-04-2010,15,6,0,11.6,4,9,7,6,8,6,18,11,93,0,1032,8,10,19,9,Paris
11-04-2010,12,3,0,9.1,3,2,4,3,6,3,19,11,87,0,1027,6,10,32,12,Paris
12-04-2010,13,3,0,10.4,3,0,3,1,5,1,33,11,89,0,1022,5,10,46,19,Paris
13-04-2010,13,7,0,9.1,3,0,5,4,7,4,21,100,89,0,1018,7,10,47,13,Paris
14-04-2010,15,6,0,11.6,4,0,6,5,8,5,20,54,90,0,1016,8,10,4,12,Paris
15-04-2010,14,5,0,11.6,4,5,5,4,7,4,20,11,92,0,1017,7,10,11,11,Paris
16-04-2010,14,5,0,11.6,4,13,5,5,8,5,20,22,85,0,1020,8,10,29,11,Paris
17-04-2010,17,4,0,11.6,4,21,4,3,6,3,18,3,88,0,1024,6,10,44,12,Paris
18-04-2010,21,6,0,11.6,5,28,8,9,10,9,12,1,92,0,1017,10,10,78,6,Paris
19-04-2010,22,6,0,11.6,5,36,7,6,8,6,12,33,94,0,1015,8,10,20,6,Paris
20-04-2010,17,7,0,11.6,4,43,5,7,8,7,13,13,82,0,1016,8,10,116,6,Paris
21-04-2010,16,4,0,11.6,4,51,4,5,7,5,13,0,80,0,1020,7,10,358,8,Paris
22-04-2010,15,4,0,11.6,4,58,2,2,5,2,27,29,80,0,1019,5,10,50,14,Paris
23-04-2010,20,5,0,11.6,4,66,2,3,6,3,25,14,73,0,1014,6,10,28,13,Paris
24-04-2010,27,8,0,11.6,5,73,9,9,10,9,18,0,91,0,1017,10,10,44,9,Paris
25-04-2010,21,9,0,11.6,5,81,6,9,9,9,5,16,82,0,1019,9,10,226,3,Paris
26-04-2010,17,8,0,10.5,3,89,9,9,10,9,8,13,97,0,1025,10,2,322,4,Paris
27-04-2010,21,6,0,14.5,4,96,8,7,8,7,10,8,96,0,1028,8,2,340,5,Paris
28-04-2010,24,9,0,14.5,5,100,9,10,11,10,12,8,89,0,1026,11,10,105,6,Paris
29-04-2010,25,13,0,14.5,6,89,11,13,13,13,12,16,85,0,1017,13,10,199,6,Paris
30-04-2010,15,11,0,10.3,4,81,10,12,14,12,27,10,81,0.4,1012,14,10,247,15,Paris
01-05-2010,17,10,0,12.4,4,78,7,11,12,11,13,38,74,0,1013,12,10,264,8,Paris
02-05-2010,14,8,0,14.5,3,71,10,9,11,9,12,38,94,0,1011,11,2,198,7,Paris
03-05-2010,9,5,0,9.3,2,64,6,3,6,3,22,94,96,0.3,1011,6,10,285,14,Paris
04-05-2010,12,4,0,14.5,2,57,2,2,6,2,23,88,78,0,1020,6,10,357,15,Paris
05-05-2010,12,4,0,14.5,3,49,1,1,5,1,31,32,73,0,1020,5,10,13,18,Paris
06-05-2010,15,4,0,14.5,4,42,3,2,6,2,30,25,83,0,1010,6,10,357,17,Paris
07-05-2010,13,3,0,11.4,4,35,4,5,7,5,16,14,79,0,1009,7,10,342,11,Paris
08-05-2010,16,7,0,13.5,4,27,5,7,9,7,18,45,77,0,1009,9,10,39,12,Paris
09-05-2010,16,7,0,14.5,3,20,8,8,9,8,10,47,96,0.3,1010,9,5,22,5,Paris
10-05-2010,17,7,0,11.4,4,13,7,6,9,6,25,36,93,0,1007,9,10,15,15,Paris
11-05-2010,6,4,0,9.4,2,6,7,5,8,5,31,100,95,0,1008,8,9,23,19,Paris
12-05-2010,10,4,0,10.4,2,0,3,0,4,0,14,70,93,0.1,1011,4,10,335,8,Paris
13-05-2010,11,4,0,9.4,3,0,3,4,6,4,14,13,78,0,1014,6,10,332,8,Paris
14-05-2010,13,6,0,10.5,3,1,5,5,6,5,9,99,92,0,1014,6,10,335,5,Paris
15-05-2010,16,6,0,14.5,4,9,4,5,7,5,8,26,85,0,1013,7,10,16,4,Paris
16-05-2010,17,5,0,13.5,3,16,5,3,5,3,11,17,95,0,1017,5,2,320,5,Paris
17-05-2010,17,8,0,12.5,4,23,6,7,8,7,11,57,88,0,1022,8,10,240,5,Paris
18-05-2010,17,3,0,13.5,4,31,5,5,6,5,11,9,93,0,1028,6,10,5,5,Paris
19-05-2010,20,6,0,14.5,5,38,6,8,9,8,23,14,80,0,1029,9,10,352,11,Paris
20-05-2010,21,6,0,14.5,5,45,9,9,10,9,14,0,91,0,1031,10,10,1,8,Paris
21-05-2010,23,9,0,14.5,5,52,11,10,11,10,23,10,97,0,1031,11,2,26,12,Paris
22-05-2010,23,11,0,14.5,5,60,12,12,13,12,23,5,93,0,1028,13,10,25,12,Paris
23-05-2010,27,10,0,15.4,6,67,12,14,14,14,15,0,85,0,1024,14,10,14,9,Paris
24-05-2010,31,14,0,15.8,7,74,15,17,17,17,9,0,91,0,1019,17,10,77,4,Paris
25-05-2010,29,12,0,15.8,6,81,13,15,15,15,10,7,90,0,1012,15,10,21,5,Paris
26-05-2010,20,12,0,14.6,4,89,15,16,16,16,25,34,97,0,1008,16,2,165,12,Paris
27-05-2010,18,10,0,13.7,3,96,10,11,11,11,6,55,96,0,1009,11,2,359,3,Paris
28-05-2010,20,9,0,15.9,4,100,9,8,10,8,17,70,98,0,1012,10,10,325,9,Paris
29-05-2010,17,8,0,13.7,4,89,7,7,9,7,12,13,87,0,1019,9,10,66,6,Paris
30-05-2010,16,12,0,11.9,3,82,13,12,14,12,23,100,96,0,1011,14,10,238,14,Paris
31-05-2010,16,10,0,15.6,4,78,9,10,12,10,20,21,84,0,1016,12,10,287,13,Paris
01-06-2010,16,5,0,12,3,63,7,7,8,7,11,100,98,0,1019,8,0,18,5,Paris
02-06-2010,22,12,0,16,4,55,12,12,12,12,10,100,98,0,1016,12,0,53,6,Paris
03-06-2010,24,12,0,16,6,48,10,12,13,12,18,0,81,0,1021,13,10,17,11,Paris
04-06-2010,30,15,0,16,7,40,15,16,16,16,18,2,92,0,1019,16,10,51,9,Paris
05-06-2010,29,15,0,16,7,32,14,16,16,16,9,3,86,0,1020,16,10,118,4,Paris
06-06-2010,23,16,0,15.6,6,25,15,18,18,18,11,14,81,0,1015,18,10,135,5,Paris
07-06-2010,23,11,0,16,5,17,11,12,13,12,15,7,90,0,1016,13,10,262,8,Paris
08-06-2010,20,15,0,15.6,5,10,12,15,15,15,9,50,82,0,1008,15,10,171,4,Paris
09-06-2010,19,14,0,12.9,4,2,15,15,15,15,11,46,98,0.8,1005,15,10,163,5,Paris
10-06-2010,22,14,0,14.7,4,0,14,14,14,14,7,100,98,0,1004,14,0,105,3,Paris
11-06-2010,27,15,0,16.1,5,0,16,17,17,17,14,51,97,1.3,1003,17,10,161,8,Paris
12-06-2010,21,14,0,13.8,4,0,16,16,16,16,9,73,98,3.3,1010,16,7,318,5,Paris
13-06-2010,20,10,0,16.1,5,5,10,12,13,12,14,19,80,0,1018,13,10,27,9,Paris
14-06-2010,18,12,0,16.1,4,13,10,11,12,11,11,69,89,0,1012,12,10,115,5,Paris
15-06-2010,21,13,0,15.6,5,20,12,13,14,13,16,21,92,0,1018,14,10,352,9,Paris
16-06-2010,20,11,0,16.1,5,28,8,10,13,10,35,12,74,0,1021,13,10,21,22,Paris
17-06-2010,17,13,0,16.1,5,35,10,16,16,16,20,21,69,0,1016,16,10,29,11,Paris
